wav,support,TP,FP,FN,f1,recall,n_ws
002187.wav,7,4,4,3,0.5333333333333333,0.5714285714285714,15
002262.wav,29,17,18,12,0.53125,0.5862068965517241,22
004212.wav,32,13,4,19,0.5306122448979592,0.40625,25
002848.wav,28,13,8,15,0.5306122448979592,0.4642857142857143,21
001884.wav,56,22,5,34,0.5301204819277109,0.39285714285714285,38
000979.wav,25,9,0,16,0.5294117647058824,0.36,26
000139.wav,28,14,11,14,0.5283018867924528,0.5,16
005294.wav,24,10,4,14,0.5263157894736842,0.4166666666666667,28
002265.wav,22,10,6,12,0.5263157894736842,0.45454545454545453,27
000913.wav,37,21,22,16,0.525,0.5675675675675675,34
002195.wav,34,16,11,18,0.5245901639344263,0.47058823529411764,28
002110.wav,11,6,6,5,0.5217391304347826,0.5454545454545454,20
001275.wav,17,7,3,10,0.5185185185185185,0.4117647058823529,23
001240.wav,21,8,2,13,0.5161290322580645,0.38095238095238093,18
000492.wav,18,8,5,10,0.5161290322580645,0.4444444444444444,17
005346.wav,18,8,5,10,0.5161290322580645,0.4444444444444444,22
001497.wav,20,8,3,12,0.5161290322580645,0.4,23
000308.wav,70,24,0,46,0.5106382978723404,0.34285714285714286,25
004835.wav,18,12,17,6,0.5106382978723404,0.6666666666666666,23
000647.wav,36,15,8,21,0.5084745762711864,0.4166666666666667,23
005653.wav,11,8,13,3,0.5,0.7272727272727273,20
003199.wav,7,4,5,3,0.5,0.5714285714285714,16
002940.wav,10,5,5,5,0.5,0.5,26
005545.wav,9,5,6,4,0.5,0.5555555555555556,21
003189.wav,49,21,14,28,0.5,0.42857142857142855,38
005646.wav,28,11,5,17,0.5,0.39285714285714285,20
001440.wav,40,16,8,24,0.5,0.4,33
003965.wav,29,11,4,18,0.5,0.3793103448275862,20
003268.wav,25,13,14,12,0.5,0.52,31
003282.wav,16,7,5,9,0.5,0.4375,17
004486.wav,8,4,4,4,0.5,0.5,16
004403.wav,24,10,6,14,0.5,0.4166666666666667,17
003498.wav,22,8,2,14,0.5,0.36363636363636365,26
001018.wav,40,16,8,24,0.5,0.4,30
005482.wav,17,7,4,10,0.5,0.4117647058823529,28
000098.wav,22,10,8,12,0.5,0.45454545454545453,24
002267.wav,14,6,4,8,0.5,0.42857142857142855,26
002548.wav,18,7,3,11,0.5,0.3888888888888889,27
002839.wav,27,13,13,14,0.49056603773584906,0.48148148148148145,32
002843.wav,30,12,7,18,0.4897959183673469,0.4,31
001841.wav,15,9,13,6,0.4864864864864865,0.6,31
003753.wav,17,8,8,9,0.48484848484848486,0.47058823529411764,25
000085.wav,37,15,10,22,0.4838709677419355,0.40540540540540543,26
002083.wav,34,15,13,19,0.4838709677419355,0.4411764705882353,22
000413.wav,14,7,8,7,0.4827586206896552,0.5,15
002416.wav,20,7,2,13,0.4827586206896552,0.35,19
004543.wav,27,13,14,14,0.48148148148148145,0.48148148148148145,28
001415.wav,68,25,11,43,0.4807692307692308,0.36764705882352944,34
002352.wav,15,6,4,9,0.48,0.4,27
002782.wav,17,6,2,11,0.48,0.35294117647058826,25
002634.wav,13,6,6,7,0.48,0.46153846153846156,21
003266.wav,38,17,16,21,0.4788732394366197,0.4473684210526316,31
001612.wav,22,10,10,12,0.47619047619047616,0.45454545454545453,24
001566.wav,28,10,4,18,0.47619047619047616,0.35714285714285715,16
003592.wav,12,5,4,7,0.47619047619047616,0.4166666666666667,18
001420.wav,24,8,2,16,0.47058823529411764,0.3333333333333333,22
005710.wav,13,4,0,9,0.47058823529411764,0.3076923076923077,17
000356.wav,21,8,5,13,0.47058823529411764,0.38095238095238093,34
005296.wav,36,11,0,25,0.46808510638297873,0.3055555555555556,24
003106.wav,27,10,6,17,0.46511627906976744,0.37037037037037035,28
001615.wav,40,18,20,22,0.46153846153846156,0.45,23
002549.wav,38,15,12,23,0.46153846153846156,0.39473684210526316,34
001363.wav,12,6,8,6,0.46153846153846156,0.5,21
003092.wav,22,14,25,8,0.45901639344262296,0.6363636363636364,23
000195.wav,29,14,18,15,0.45901639344262296,0.4827586206896552,28
001098.wav,32,11,5,21,0.4583333333333333,0.34375,24
000978.wav,12,5,5,7,0.45454545454545453,0.4166666666666667,21
002307.wav,28,10,6,18,0.45454545454545453,0.35714285714285715,29
005188.wav,25,10,9,15,0.45454545454545453,0.4,22
002943.wav,9,5,8,4,0.45454545454545453,0.5555555555555556,28
000166.wav,13,5,4,8,0.45454545454545453,0.38461538461538464,17
002302.wav,23,10,11,13,0.45454545454545453,0.43478260869565216,24
005023.wav,26,11,12,15,0.4489795918367347,0.4230769230769231,16
005292.wav,54,22,22,32,0.4489795918367347,0.4074074074074074,33
001368.wav,59,19,7,40,0.4470588235294118,0.3220338983050847,36
001494.wav,34,10,1,24,0.4444444444444444,0.29411764705882354,28
001548.wav,25,10,10,15,0.4444444444444444,0.4,25
003938.wav,29,12,13,17,0.4444444444444444,0.41379310344827586,28
005503.wav,18,6,3,12,0.4444444444444444,0.3333333333333333,17
005537.wav,21,6,0,15,0.4444444444444444,0.2857142857142857,23
004137.wav,17,6,4,11,0.4444444444444444,0.35294117647058826,17
002777.wav,20,6,1,14,0.4444444444444444,0.3,18
002261.wav,31,11,8,20,0.44,0.3548387096774194,19
002303.wav,28,9,4,19,0.43902439024390244,0.32142857142857145,18
001885.wav,25,9,7,16,0.43902439024390244,0.36,28
003934.wav,23,9,9,14,0.43902439024390244,0.391304347826087,26
001499.wav,27,9,5,18,0.43902439024390244,0.3333333333333333,19
002544.wav,26,9,6,17,0.43902439024390244,0.34615384615384615,33
000218.wav,31,15,23,16,0.43478260869565216,0.4838709677419355,34
000072.wav,16,5,2,11,0.43478260869565216,0.3125,17
000091.wav,39,13,8,26,0.43333333333333335,0.3333333333333333,19
001554.wav,25,8,4,17,0.43243243243243246,0.32,23
000199.wav,21,17,41,4,0.43037974683544306,0.8095238095238095,21
